//
// IDLE
//
	// None
	xanim,pb_stand_bombplant
	// Briefcase
	xanim,p_bomb_stand_loop
	//Pistol
	xanim,pb_stand_ads_pistol
	xanim,pb_stand_alert_pistol
	// Rifle
	xanim,pb_stand_ads
	xanim,pb_stand_alert
	// Remote Control
	xanim,pb_rc_stand_idle
	// RPG
	xanim,pb_stand_alert_RPG
	xanim,pb_stand_ads_RPG
	// Grenade
	xanim,pb_grenade_stand_idle
	// Dual Wield
	xanim,pb_dw_botharms_idle_v1
	// Syrette
	xanim,p_revive_reviving
	// Hold Items
	xanim,pb_hold_idle
	// Radio
	xanim,p_handheldradio_idle
	// Minigun
	xanim,pb_minigun_stand_idle
	// Ballistic Knife
	xanim,pb_b_knife_stand_idle
	// Hatchet
	xanim,pb_tomahawk_stand_idle

//
// IDLECR
//
	// None
	xanim,pb_crouch_bombplant
	// Briefcase
	xanim,p_bomb_crouch_loop
	// Pistol
	xanim,pb_crouch_ads_pistol
	xanim,pb_crouch_alert_pistol
	// Rifle
	xanim,pb_crouch_ads
	xanim,pb_crouch_alert
	// Remote Control
	xanim,pb_rc_crouch_idle
	// Grenade
	xanim,pb_grenade_crouch_idle
	// Dual Wield
	xanim,pb_crouch_dw_idle_v1
	// Syrette
	xanim,p_crouch_revive_reviving
	// Hold Items
	xanim,pb_crouch_hold_idle
	// RPG
	xanim,pb_crouch_ads_RPG
	xanim,pb_crouch_alert_RPG
	// Radio
	xanim,p_handheldradio_crouch_idle
	// Minigun
	xanim,pb_minigun_crouch_idle
	// Ballistic Knife
	xanim,pb_b_knife_crouch_idle
	// Hatchet
	xanim,pb_tomahawk_crouch_idle

//
// IDLEPRONE - LDS: Need ADS for prone RPG
//
	// None
	xanim,pb_prone_bombplant
	// Briefcase
	xanim,p_bomb_prone_loop
	// Pistol
	xanim,pb_prone_aim_pistol
	xanim,pb_prone_aim_ads_pistol
	// Rifle
	xanim,pb_prone_aim
	xanim,pb_prone_aim_ads
	// Grenade
	xanim,pb_grenade_prone_idle
	// Dual Wield
	xanim,pb_prone_dw_idle_v1
	// Syrette
	xanim,p_prone_revive_reviving
	// Hold Items
	xanim,pb_prone_hold
	// RPG
	xanim,pb_prone_aim_RPG
	// Radio
	xanim,p_handheldradio_prone_idle
	// Laststand
	xanim,pb_laststand_idle
	// Remote Control
	xanim,pb_rc_prone_idle
	// Ballistic Knife
	xanim,pb_b_knife_prone_idle
	// Hatchet
	xanim,pb_tomahawk_prone_idle
	

//
// FLINCH_FORWARD, FLINCH_BACKWARD, FLINCH_LEFT, FLINCH_RIGHT
// 
	// Dual Wield
	xanim,pt_dw_stand_flinch_right
	xanim,pt_dw_stand_flinch_left
	xanim,pt_dw_stand_flinch_forward
	xanim,pt_dw_stand_flinch_back
	// Grenade
	xanim,pt_stand_flinch_grenade_back
	xanim,pt_stand_flinch_grenade_forward
	xanim,pt_stand_flinch_grenade_left
	xanim,pt_stand_flinch_grenade_right
	// Hold Items
	xanim,pt_hold_stand_flinch_back
	xanim,pt_hold_stand_flinch_forward
	xanim,pt_hold_stand_flinch_left
	xanim,pt_hold_stand_flinch_right
	// Pistol
	xanim,pt_stand_flinch_pistol_right
	xanim,pt_stand_flinch_pistol_back
	xanim,pt_stand_flinch_pistol_forward
	xanim,pt_stand_flinch_pistol_left
	// Rifle
	xanim,pt_stand_flinch_right
	xanim,pt_stand_flinch_left
	xanim,pt_stand_flinch_back
	xanim,pt_stand_flinch_forward
	// Remote Control
	xanim,pt_rc_stand_flinch_back
    xanim,pt_rc_stand_flinch_forward
    xanim,pt_rc_stand_flinch_left
    xanim,pt_rc_stand_flinch_right

//
// CROUCH_FLINCH_FORWARD, CROUCH_FLINCH_BACKWARD, CROUCH_FLINCH_LEFT, CROUCH_FLINCH_RIGHT
//
	// Dual Wield
	xanim,pt_dw_crouch_flinch_right
	xanim,pt_dw_crouch_flinch_left
	xanim,pt_dw_crouch_flinch_forward
	xanim,pt_dw_crouch_flinch_back
	// Grenade
	xanim,pt_crouch_flinch_grenade_back
	xanim,pt_crouch_flinch_grenade_forward
	xanim,pt_crouch_flinch_grenade_left
	xanim,pt_crouch_flinch_grenade_right
	// Hold Items
	xanim,pt_hold_crouch_flinch_back
	xanim,pt_hold_crouch_flinch_forward
	xanim,pt_hold_crouch_flinch_left
	xanim,pt_hold_crouch_flinch_right
	// Pistol
	xanim,pt_crouch_flinch_pistol_right
	xanim,pt_crouch_flinch_pistol_back
	xanim,pt_crouch_flinch_pistol_forward
	xanim,pt_crouch_flinch_pistol_left
	// Rifle
	xanim,pt_crouch_flinch_right
	xanim,pt_crouch_flinch_left
	xanim,pt_crouch_flinch_back
	xanim,pt_crouch_flinch_forward
	// Remote Control
	xanim,pt_rc_crouch_flinch_back
    xanim,pt_rc_crouch_flinch_forward
    xanim,pt_rc_crouch_flinch_left
    xanim,pt_rc_crouch_flinch_right


//
// PRONE_FLINCH_FORWARD, PRONE_FLINCH_BACKWARD, PRONE_FLINCH_LEFT, PRONE_FLINCH_RIGHT
