// put weapon-related FX into the common_mp_weapons.csv,

impactfx,mp_maps
xmodel,fx
// fx,weapon/muzzleflashes/fx_distortion_tank_muzzleflash
fx,vehicle/treadfx/fx_treadfx_dust


// fx,misc/ui_pickup_available
// fx,misc/ui_pickup_unavailable

fx,misc/fx_ui_flagbase_gold_t5

// fx,misc/fx_ui_flagbase_blue
// fx,misc/fx_ui_flagbase_red
// fx,misc/fx_ui_flagbase_gold
// fx,misc/fx_ui_flagbase_silver

// fx,misc/fx_light_c4_blink
fx,weapon/claymore/fx_claymore_laser
fx,weapon/grenade/fx_spark_disabled_weapon
fx,explosions/fx_exp_equipment
fx,explosions/fx_exp_equipment_lg

// fx,explosions/fx_default_explosion

xmodel,aircraft_bomb
xmodel,tag_origin

// sb and sab explosion,
fx,maps/mp_maps/fx_mp_exp_bomb

// impacts effects,
fx,impacts/fx_flesh_hit_noblood
fx,impacts/fx_flesh_hit_knife_mp
fx,impacts/fx_flesh_hit_knife_noblood
fx,impacts/fx_flesh_hit_body_fatal_exit_mp
fx,impacts/fx_flesh_hit_head_fatal_exit_mp
fx,impacts/fx_flesh_hit_body_nonfatal_mp
fx,impacts/fx_flesh_hit_body_fatal_lg_exit_mp
fx,impacts/fx_flesh_hit_head_fatal_lg_exit_mp
fx,impacts/fx_flesh_hit_head_coward
fx,impacts/fx_flesh_hit
fx,impacts/fx_flesh_hit_splat_mp
fx,impacts/flesh_hit_head_fatal_xlg_gib_mp

fx,impacts/fx_small_metalhit_bodyarmor
fx,impacts/fx_xlarge_metalhit_bodyarmor

// For drivable vehicles?,

// For squad perks,
fx,env/light/fx_ray_grnd_loc_marker_grn_mp
fx,env/light/fx_ray_grnd_loc_marker_red_mp
fx,env/light/fx_ray_grnd_loc_marker_ylw_mp

// using this for airstrikes,
// fx,weapon/artillery/fx_artillery_strike_american_mp
fx,weapon/artillery/fx_artillery_strike_dirt_mp

// this is for the flare,
fx,misc/fx_flare_sky_white_10sec

// this is for the tactical insertion,
//fx,misc/fx_flare_tac_green_mp
//fx,misc/fx_flare_tac_red_mp
fx,misc/fx_equip_tac_insert_light_grn
fx,misc/fx_equip_tac_insert_light_red
fx,misc/fx_flare_tac_dest_mp

// this is for the grenade trail
fx,weapon/grenade/fx_trail_grenade

// decoy
fx,weapon/grenade/fx_nightingale_grenade_mp

// gibs,
fx,weapon/bullet/fx_flesh_gib_fatal_01_mp
fx,trail/fx_trail_blood_streak_mp

// bouncing betty,
// fx,weapon/bouncing_betty/fx_betty_trail
// fx,weapon/bouncing_betty/fx_b_betty_glint

// flamethrower fire manager,
// vvvvvvv REMOVE vvvvvvv
fx,misc/fx_fire_manager1_2sec
fx,misc/fx_fire_manager2_2sec
fx,misc/fx_fire_manager3_2sec
// ^^^^^^^ REMOVE ^^^^^^^

fx,misc/fx_fire_manager1_1sec
fx,misc/fx_fire_manager2_1sec
fx,misc/fx_fire_manager3_1sec
fx,misc/fx_fire_fthrow_vert_short_2sec

// flamethrower pilot light
fx,weapon/muzzleflashes/fx_pilot_light

// artillery,
fx,Weapon/Rocket/fx_LCI_rocket_geotrail

// footsteps for the dogs,
fx,bio/player/fx_footstep_fire
fx,bio/player/fx_footstep_mud
fx,bio/player/fx_footstep_sand
fx,bio/player/fx_footstep_dust
fx,bio/player/fx_footstep_water

// destructible vehicle effects,
fx,destructibles/fx_dest_fire_car_fade_40
fx,destructibles/fx_dest_fire_car_fade_25
fx,destructibles/fx_dest_fire_lg
fx,destructibles/fx_dest_fire_med
fx,destructibles/fx_dest_fire_sm
fx,env/smoke/fx_smoke_sm_blk_20_fade

//Pipes-related fx
//fx,destructibles/fx_dest_mp_pipe_fire
//fx,destructibles/fx_dest_mp_pipe_steam
//fx,destructibles/fx_dest_mp_pipe_water

//Minefield FX
//fx,weapon/satchel/fx_explosion_satchel_generic

fx,weapon/ir_scope/fx_ir_scope_heartbeat
