include,ai_anims_gas

/////////////////////////////////////////
// DOCKS
////////////////////////////////////////

// Ambient Dock Worker Anims
// xanim,ch_rebirth_b01_dock_workers_a_1
// xanim,ch_rebirth_b01_dock_workers_b_1
// xanim,ch_rebirth_b01_dock_workers_c_1
// xanim,ch_rebirth_b01_dock_workers_c_2
xanim,ch_rebirth_b01_dock_workers_e_1
// xanim,ch_rebirth_b01_dock_workers_e_2
xanim,ch_rebirth_b01_dock_workers_f_1
xanim,ch_rebirth_b01_dock_workers_f_2
xanim,ch_rebirth_b01_dock_workers_g_1
xanim,ch_rebirth_b01_dock_workers_g_2
// xanim,ch_rebirth_b01_dock_workers_h_1
// xanim,ch_rebirth_b01_dock_workers_h_2

// Crate Investigate Anims
xanim,ch_rebirth_b01_dock_container_worker_a
xanim,ch_rebirth_b01_dock_container_worker_b

// Crate Kill Anims
xanim,ch_rebirth_b01_container_worker_idle
xanim,int_contextual_melee_hatchet_worker
xanim,ai_contextual_melee_hatchet_worker
xanim,ai_contextual_melee_hatchet_worker_deathpose

// Alley Kill Anims
xanim,ai_contextual_melee_hatchet_to_throw
xanim,int_contextual_melee_hatchet_to_throw
xanim,ai_contextual_melee_hatchet_patroller_walk_2_ai 
xanim,ai_contextual_melee_hatchet_patroller_death
xanim,ai_contextual_melee_hatchet_to_throw_deathpose
xanim,ai_contextual_melee_hatchet_patroller_deathpose

// Pull Down Anims
xanim,ai_contextual_melee_ladderpull_peekover 
xanim,ai_contextual_melee_ladderpull_peekover_2_fire
xanim,ai_contextual_melee_ladderpull
xanim,int_contextual_melee_ladderpull
xanim,int_contextual_melee_ladderpull_death
xanim,int_contextual_melee_ladderpull_idle
xanim,o_contextual_melee_ladderpull_ks23

// Dock Soldier Anims
// xanim,ch_rebirth_b01_dock_workers_radio
xanim,ch_rebirth_b01_explosion_reac_guard1
xanim,ch_rebirth_b01_explosion_reac_guard2
xanim,ai_hatchet_to_throw_idle
xanim,ai_hatchet_to_throw_idle_2_flinch
xanim,ai_hatchet_to_throw_flinch_2_ai 

// Player Dock Anims
xanim,ch_rebirth_b01_open_container_player
xanim,ch_rebirth_b01_open_hatch_in_player
xanim,ch_rebirth_b01_open_hatch_end_player

// Elevator vignette
xanim,ch_rebirth_b01_inside_elevator_civ1
xanim,ch_rebirth_b01_inside_elevator_civ2
xanim,ch_rebirth_b01_inside_elevator_spetz1
xanim,ch_rebirth_b01_inside_elevator_spetz2
xanim,ch_rebirth_b01_inside_elevator_civ1_react
xanim,ch_rebirth_b01_inside_elevator_civ2_react
xanim,ch_rebirth_b01_inside_elevator_spetz1_react
xanim,ch_rebirth_b01_inside_elevator_spetz2_react

// Hatch Anims
xanim,p_rebirth_b01_slide_down_hatch_closed
xanim,p_rebirth_b01_open_hatch
xanim,p_rebirth_b01_open_hatch_loop
xanim,p_rebirth_b01_drop_down_hatch_fullyopen
xanim,p_rebirth_b01_hatch_idle

// Crate Anims
xanim,p_rebirth_b01_dock_crate_outer_door_anim
xanim,p_rebirth_b01_dock_crate_outer_door_openloop
xanim,p_rebirth_b01_dock_crate_inner_door_anim
xanim,p_rebirth_b01_dock_crate_inner_door_openloop

// Reznov Dock Anims
xanim,ch_rebirth_b01_docks_intro_reznov
xanim,ch_rebirth_b01_docks_intro_idle_reznov
xanim,ch_rebirth_b01_docks_intro_kill_him_mason_reznov
xanim,ch_rebirth_b01_dockrun_exit_container_reznov
xanim,ch_rebirth_b01_dockrun1_idle_reznov
xanim,ch_rebirth_b01_dockrun1_reznov
xanim,ch_rebirth_b01_dockrun2_idle_reznov
xanim,ch_rebirth_b01_dockrun2_reznov
xanim,ch_rebirth_b01_dockrun3_idle_reznov
xanim,ch_rebirth_b01_dockrun3_reznov
xanim,ch_rebirth_b01_dockrun4_idle_reznov
xanim,ch_rebirth_b01_dockrun4_kill_signal_reznov
xanim,ch_rebirth_b01_spotlight_run_reznov
xanim,ch_rebirth_b01_spotlight_run_reznov_idle
xanim,ch_rebirth_b01_spotlight_run_reznov_idle2
xanim,ch_rebirth_b01_spotlight_run_reznov_idle_speak
xanim,ch_rebirth_b01_spotlight_run_reznov_exit
xanim,ch_rebirth_b01_reznov_motion_up_ladder_get_to
xanim,ch_rebirth_b01_reznov_motion_up_ladder_idle
xanim,ch_rebirth_b01_reznov_motion_up_ladder
