impactfx,rebirth

// Scripted Effects
fx,weapon/muzzleflashes/fx_shotgun_flash_base
fx,env/fire/fx_fire_player_sm_1sec
fx,env/fire/fx_fire_player_md
fx,env/fire/fx_fire_player_torso
//fx,maps/vorkuta/fx_explosion_tower_main

fx,vehicle/light/fx_apc_btr60_headlight
//fx,vehicle/light/fx_apc_btr60_headlight_left_spot
fx,maps/rebirth/fx_btr_hood_fire

// Gas Effects
fx,maps/rebirth/fx_nova6_bomblet
fx,maps/rebirth/fx_nova6_exp_outside
fx,maps/rebirth/fx_nova6_death_fumes_ai 

// Ghost Effects
// fx,maps/rebirth/fx_ir_heat_trail

// Exploders
fx,maps/rebirth/fx_nova6_gas_leak
fx,maps/rebirth/fx_hip_crash_rotor_car
fx,maps/rebirth/fx_hip_crash_rotor_ground
fx,explosions/fx_exp_vehicle_gen_stage3
fx,maps/rebirth/fx_hip_crash_ground_impact
fx,explosions/fx_exp_bomb_huge
fx,maps/rebirth/fx_gas_fog_thick
fx,maps/rebirth/fx_gas_fog_thick_sm
fx,maps/rebirth/fx_gas_fog_thick_sm_os
fx,maps/rebirth/fx_gas_fog_thick_hall
fx,maps/rebirth/fx_nova6_detail_md
fx,maps/rebirth/fx_nova6_detail_lg
fx,maps/rebirth/fx_nova6_door_exit
fx,maps/rebirth/fx_nova6_window_exit
fx,maps/rebirth/fx_nova6_dropdown
fx,maps/rebirth/fx_nova6_gas_lit
fx,maps/rebirth/fx_decontamination_spray
fx,explosions/fx_exp_gen_window
fx,impacts/fx_flesh_hit_body_fatal_exit
fx,env/dirt/fx_dust_impact_body
fx,maps/rebirth/fx_steiner_window_hit
fx,maps/rebirth/fx_steiner_window_smash
fx,env/electrical/fx_elec_panel_spark_md
fx,bio/blood/fx_blood_drip

// Ambient Effects
fx,env/smoke/fx_smk_plume_xlg_blk
fx,env/smoke/fx_smk_plume_md_wht_wispy
fx,env/smoke/fx_smk_fire_md_gray_int
fx,env/smoke/fx_smk_fire_lg_white
fx,env/smoke/fx_smk_smolder_rubble_md
fx,env/smoke/fx_smk_smolder_sm_int
fx,env/smoke/fx_smk_linger_lit
fx,env/smoke/fx_smk_hallway_med
fx,env/smoke/fx_smk_ceiling_crawl
fx,env/smoke/fx_fog_water_lg
fx,env/smoke/fx_fog_rolling_md
fx,env/smoke/fx_fog_dropdown_lg
fx,env/smoke/fx_steam_hallway_md

fx,env/fire/fx_ash_embers_heavy
fx,env/fire/fx_embers_falling_md
fx,env/fire/fx_fire_column_creep_xsm
fx,env/fire/fx_fire_column_creep_sm
fx,env/fire/fx_fire_wall_md
fx,env/fire/fx_fire_ceiling_md
fx,env/fire/fx_fire_sm_smolder
fx,env/fire/fx_fire_md_smolder
fx,env/fire/fx_fire_line_xsm
fx,env/fire/fx_fire_line_sm
fx,env/fire/fx_fire_line_md

fx,env/smoke/fx_fog_lit_overhead_amber
fx,env/water/fx_water_pipe_gush_lg_dirty
fx,env/water/fx_water_splash_lg_dirty
fx,env/smoke/fx_pipe_steam_md
fx,env/smoke/fx_pipe_steam_md_runner

fx,env/light/fx_light_floodlight_bright
fx,env/light/fx_light_floodlight_bright_dist
fx,env/light/fx_light_overhead_amber
fx,env/light/fx_light_overhead_int
fx,env/light/fx_light_overhead_sm_amber
fx,env/light/fx_street_light
// fx,env/light/fx_light_dust_motes_sm
fx,env/light/fx_light_dust_motes_xsm
fx,maps/rebirth/fx_lab_light_quad
fx,env/light/fx_light_tinhat_cage
fx,env/light/fx_ray_spread_md_1sd
fx,maps/flashpoint/fx_light_map_glow
fx,env/light/fx_light_fluorescent_tubes
fx,env/light/fx_light_med_overhead

fx,bio/animals/fx_seagulls_shore_distant
fx,bio/animals/fx_seagulls_near
fx,bio/animals/fx_seagull_death_feathers

fx,maps/rebirth/fx_muzzleflash_weaver_steiner
fx,maps/rebirth/fx_shellejects_weaver_steiner

// Molotov effects
fx,weapon/molotov/fx_molotov_exp
fx,misc/fx_fire_manager1
fx,misc/fx_fire_manager2
fx,misc/fx_fire_manager3
fx,weapon/molotov/fx_molotov_burn_trail2
fx,weapon/molotov/fx_molotov_wick

// Helicopter Effects
fx,weapon/rocket/fx_heli_rocket_muzzleflash

fx,vehicle/props/fx_hip_main_blade_static
fx,vehicle/props/fx_hip_main_blade_full
fx,vehicle/props/fx_hip_small_blade_static
fx,vehicle/props/fx_hip_small_blade_full

// Water
fx,impacts/fx_water_hit_sm
fx,impacts/fx_water_hit_md
fx,impacts/fx_water_hit_lg
fx,impacts/fx_water_object_ripple


// Blood effects
fx,impacts/fx_flesh_hit_neck_fatal
fx,impacts/fx_melee_neck_stab
fx,impacts/fx_melee_neck_stab_crouching
fx,maps/rebirth/fx_axe_to_the_chest 
fx,maps/rebirth/fx_axe_to_the_arm 
fx,impacts/fx_melee_neck_stab_left

fx,maps/rebirth/fx_hip_crash_exp_impact
fx,maps/rebirth/fx_hip_crash_exp_trail
fx,maps/rebirth/fx_hip_crash_tire_smoke
fx,vehicle/vfire/fx_vsmoke_hip_trail

// Destructible Vehicles
// vehiclesettings.gdt\jeep_uaz
// vehiclesettings.gdt\tiara
